artista,cancion,duracion_ms,explicito,anio,popularidad,bailable,energia,clave,volumen,modo,locuacidad,acusticidad,instrumentalidad,vivisidad,valencia emocional,tempo,genero_principal_Dance/Electronic,genero_principal_Folk/Acoustic,genero_principal_R&B,genero_principal_World/Traditional,genero_principal_country,genero_principal_easy listening,genero_principal_hip hop,genero_principal_latin,genero_principal_metal,genero_principal_pop,genero_principal_rock,genero_principal_set(),fecha_lanzamiento,Followers,dia_semana,TOP50_2019-2020,inflation,unemployment,gdp_per_capita,gross_savings,crecimiento_renta_neta,consumption_expenditure
Gigi D'Agostino,L'Amour Toujours,238759,0,2011,1,0.617,0.728,7,-7.932,1,0.0292,0.0328,0.0482,0.36,0.808,139.066,0,0,0,0,0,0,0,0,0,1,0,0,2023-10-11,931995,Wednesday,no,3.156841569,8.949,50066,16.0,2.05,84.68
Chicane,Don't Give Up,210786,0,2016,47,0.644,0.72,10,-9.635,0,0.0419,0.00145,0.504,0.0839,0.53,132.017,1,0,0,0,0,0,0,0,0,0,0,0,2017-02-07,173061,Tuesday,no,1.261583206,4.869,58207,18.67,1.06,81.79
Samantha Mumba,Gotta Tell You,201946,0,2018,43,0.729,0.632,0,-8.75,0,0.0279,0.191,0.0,0.166,0.774,109.981,0,0,0,0,0,0,0,0,0,1,0,0,2000-06-02,183822,Friday,no,2.442583297,3.896,63201,19.34,2.91,81.3
DJ Ötzi,Hey Baby (Radio Mix),219240,0,2010,58,0.666,0.968,10,-3.196,1,0.046,0.123,0.0,0.347,0.834,135.099,0,0,0,0,0,0,0,0,0,1,0,0,2010-04-25,390555,Sunday,no,1.640043442,9.633,48651,15.17,4.31,84.86
Mariah Carey,Against All Odds (Take A Look at Me Now) (feat. Westlife),199480,0,2011,0,0.471,0.514,1,-5.599,1,0.0315,0.584,0.0,0.103,0.373,117.338,0,0,0,0,0,0,0,0,0,1,0,0,2024-06-14,10338859,Friday,no,3.156841569,8.949,50066,16.0,2.05,84.68
Faithless,We Come 1 - Radio Edit,222435,0,2015,53,0.645,0.903,5,-10.587,0,0.0441,0.00188,0.799,0.147,0.61,135.977,0,0,0,0,0,0,0,0,0,1,0,0,2005-08-30,677873,Tuesday,no,0.118627136,5.28,57040,19.75,3.54,81.45
Usher,Pop Ya Collar - Radio Edit,210813,0,2016,26,0.888,0.8,5,-3.944,0,0.0946,0.0901,2.12e-05,0.229,0.866,106.957,0,0,0,0,0,0,1,0,0,0,0,0,2021-08-12,12036479,Thursday,no,1.261583206,4.869,58207,18.67,1.06,81.79
DB Boulevard,Point Of View - Radio Edit,231166,0,2018,0,0.676,0.715,6,-6.854,1,0.0287,0.00284,0.0746,0.0685,0.275,129.006,1,0,0,0,0,0,0,0,0,0,0,0,2018-01-01,9914,Monday,no,2.442583297,3.896,63201,19.34,2.91,81.3
K-Ci & JoJo,Crazy,262773,0,2019,30,0.68,0.644,0,-4.507,1,0.0258,0.084,0.0,0.549,0.484,116.097,0,0,0,0,0,0,0,0,0,1,0,0,2024-08-30,1730125,Friday,no,1.812210075,3.669,65548,19.45,2.26,81.0
Angie Martinez,If I Could Go! (feat. Lil' Mo & Sacario),244466,0,2019,40,0.583,0.643,9,-7.486,0,0.355,0.171,0.0,0.0395,0.7,195.685,0,0,0,0,0,0,0,0,0,1,0,0,2002-09-15,20841,Sunday,no,1.812210075,3.669,65548,19.45,2.26,81.0
Aaliyah,Rock The Boat,275026,0,2019,0,0.641,0.72,5,-5.209,1,0.0336,0.0688,0.00286,0.193,0.418,92.988,0,0,0,0,0,0,1,0,0,0,0,0,1973-01-01,4439382,Monday,no,1.812210075,3.669,65548,19.45,2.26,81.0
Scooter,The Logical Song,234116,0,2013,46,0.527,0.933,6,-6.277,0,0.0382,0.00112,0.0362,0.425,0.493,144.043,0,0,0,0,0,0,0,0,0,1,0,0,1979-03-29,867019,Thursday,no,1.464832656,7.375,53410,18.64,1.41,82.46
Scooter,Nessaja,208449,0,2013,47,0.486,0.904,2,-6.642,1,0.0364,0.000748,0.0984,0.187,0.118,143.048,0,0,0,0,0,0,0,0,0,1,0,0,2002-05-13,867019,Monday,no,1.464832656,7.375,53410,18.64,1.41,82.46
Khia,"My Neck, My Back (Lick It)",222560,1,2015,59,0.859,0.625,9,-4.234,0,0.13,0.0296,0.0,0.0537,0.71,102.072,0,0,0,0,0,0,0,0,0,1,0,0,2015-05-05,236982,Tuesday,no,0.118627136,5.28,57040,19.75,3.54,81.45
Liberty X,Just A Little,237359,0,2019,43,0.786,0.614,5,-6.554,0,0.0574,0.00616,0.0,0.049,0.742,103.887,0,0,0,0,0,0,0,0,0,1,0,0,2021-10-15,146116,Friday,no,1.812210075,3.669,65548,19.45,2.26,81.0
Creed,One Last Breath - Radio Version,242000,0,2015,47,0.38,0.725,2,-6.094,1,0.0365,0.00571,0.00015,0.3,0.202,130.581,0,0,0,0,0,0,0,0,0,1,0,0,2015-01-01,3470334,Thursday,no,0.118627136,5.28,57040,19.75,3.54,81.45
Blazin' Squad,Crossroads - Radio Edit,188693,0,2012,40,0.661,0.746,4,-5.153,1,0.042,0.109,0.0,0.325,0.502,144.188,0,0,0,0,0,0,0,0,0,0,0,1,2019-03-22,26199,Friday,no,2.069337265,8.069,51784,18.13,3.85,83.44
Lil' Kim,Magic Stick,359973,1,2019,47,0.849,0.498,2,-7.872,1,0.272,0.116,4.49e-05,0.268,0.502,92.98,0,0,0,0,0,0,1,0,0,0,0,0,2003-03-03,1760264,Monday,no,1.812210075,3.669,65548,19.45,2.26,81.0
Nelly,Shake Ya Tailfeather (feat. P. Diddy & Murphy Lee) - 2016 Remaster,293666,0,2016,52,0.527,0.808,1,-4.749,1,0.295,0.176,0.0,0.169,0.907,87.025,0,0,0,0,0,0,1,0,0,0,0,0,2016-08-12,2988330,Friday,no,1.261583206,4.869,58207,18.67,1.06,81.79
Mario Winans,I Don't Wanna Know (feat. Enya & P. Diddy) - 2016 Remaster,257333,0,2016,66,0.833,0.515,11,-5.0,0,0.0462,0.347,0.00156,0.116,0.4,97.007,0,0,0,0,0,0,0,0,0,1,0,0,2016-08-12,63849,Friday,no,1.261583206,4.869,58207,18.67,1.06,81.79
3 Doors Down,Let Me Go,243053,0,2012,52,0.478,0.863,1,-4.914,0,0.0387,0.0181,0.0,0.111,0.491,92.004,0,0,0,0,0,0,0,0,0,1,0,0,2017-09-08,4436992,Friday,no,2.069337265,8.069,51784,18.13,3.85,83.44
Fedde Le Grand,Put Your Hands Up for Detroit - Radio Edit,150533,0,2015,39,0.814,0.923,7,-4.525,1,0.229,0.0154,0.154,0.0862,0.518,127.919,0,0,0,0,0,0,0,0,0,1,0,0,2024-04-04,379309,Thursday,no,0.118627136,5.28,57040,19.75,3.54,81.45
Cascada,Everytime We Touch - Radio Edit,199120,0,2011,0,0.64,0.977,8,-5.369,1,0.0555,0.00461,1.68e-05,0.371,0.493,142.019,0,0,0,0,0,0,1,0,0,0,0,0,2006-03-31,540524,Friday,no,3.156841569,8.949,50066,16.0,2.05,84.68
Girls Aloud,Something Kinda Ooooh,201590,0,2012,49,0.681,0.908,11,-3.918,0,0.0473,0.0232,0.0,0.355,0.879,131.925,0,0,0,0,0,0,0,0,0,1,0,0,2006-10-23,537030,Monday,no,2.069337265,8.069,51784,18.13,3.85,83.44
Hinder,Lips Of An Angel,261053,0,2019,35,0.474,0.744,2,-5.386,1,0.0341,0.0208,1.22e-06,0.209,0.238,129.005,0,0,0,0,0,0,0,0,0,1,0,0,2005-01-01,1911854,Saturday,no,1.812210075,3.669,65548,19.45,2.26,81.0
Ida Corr,Let Me Think About It,151973,0,2012,43,0.762,0.754,0,-3.425,0,0.046,0.00022,0.0665,0.146,0.715,129.026,0,0,0,0,0,0,0,0,0,0,0,1,2013-05-03,27370,Friday,no,2.069337265,8.069,51784,18.13,3.85,83.44
Fedde Le Grand,Put Your Hands Up For Detroit - Radio Edit,150533,0,2015,0,0.827,0.931,7,-4.474,1,0.202,0.0153,0.21,0.0992,0.491,127.995,0,0,0,0,0,0,0,0,0,1,0,0,2024-04-04,379309,Thursday,no,0.118627136,5.28,57040,19.75,3.54,81.45
Daughtry,It's Not Over,215173,0,2016,45,0.45,0.921,10,-3.476,0,0.0538,0.0467,0.0,0.311,0.413,145.959,0,0,0,0,0,0,0,0,0,1,0,0,2006-10-21,2204642,Saturday,no,1.261583206,4.869,58207,18.67,1.06,81.79
Unk,Walk It Out,173040,1,2013,48,0.794,0.777,1,-3.696,0,0.0813,0.0982,0.0,0.202,0.706,160.022,0,0,0,0,0,0,1,0,0,0,0,0,2006-10-03,376634,Tuesday,no,1.464832656,7.375,53410,18.64,1.41,82.46
T2,Heartbroken - Edit,178613,0,2017,59,0.716,0.757,11,-5.438,0,0.0329,0.0258,0.00392,0.16,0.877,139.986,1,0,0,0,0,0,0,0,0,0,0,0,2017-03-10,352,Friday,no,2.130110004,4.355,60322,19.19,2.71,81.61
Hinder,Better Than Me,223533,0,2019,30,0.451,0.682,2,-5.295,0,0.029,0.205,0.0,0.175,0.254,139.913,0,0,0,0,0,0,0,0,0,1,0,0,2009-04-25,1911854,Saturday,no,1.812210075,3.669,65548,19.45,2.26,81.0
Guru Josh Project,Infinity 2008,190013,0,2011,1,0.493,0.849,7,-6.139,0,0.0576,0.000337,0.00672,0.355,0.483,127.999,0,0,0,0,0,0,1,0,0,0,0,0,2008-05-07,74456,Wednesday,no,3.156841569,8.949,50066,16.0,2.05,84.68
Kelly Rowland,Work,207920,0,2010,34,0.888,0.823,10,-6.351,0,0.0538,0.00499,0.0,0.291,0.623,102.757,0,0,0,0,0,0,1,0,0,0,0,0,2016-01-28,3489785,Thursday,no,1.640043442,9.633,48651,15.17,4.31,84.86
Dizzee Rascal,Dance Wiv Me - Radio Edit,204093,0,2011,68,0.878,0.746,11,-4.281,1,0.0451,0.0476,0.0,0.154,0.792,111.996,0,0,0,0,0,0,1,0,0,0,0,0,2011-01-01,493529,Saturday,no,3.156841569,8.949,50066,16.0,2.05,84.68
David Guetta,Sexy Bitch (feat. Akon),195853,1,2010,75,0.813,0.627,11,-5.018,0,0.0486,0.0771,0.000616,0.131,0.801,130.011,0,0,0,0,0,0,1,0,0,0,0,0,2009-08-21,26131627,Friday,sí,1.640043442,9.633,48651,15.17,4.31,84.86
Dizzee Rascal,Bonkers,177573,0,2011,38,0.624,0.977,11,-3.34,0,0.22,0.00615,0.0,0.253,0.74,126.127,0,0,0,0,0,0,1,0,0,0,0,0,2022-08-02,493529,Tuesday,no,3.156841569,8.949,50066,16.0,2.05,84.68
David Guetta,When Love Takes Over (feat. Kelly Rowland),191000,0,2010,69,0.675,0.862,11,-4.614,1,0.0253,0.0165,0.000427,0.169,0.498,129.967,0,0,0,0,0,0,1,0,0,0,0,0,2009-08-21,26131627,Friday,sí,1.640043442,9.633,48651,15.17,4.31,84.86
P!nk,Sober,251440,0,2010,46,0.614,0.792,6,-4.907,1,0.0299,0.0653,0.0,0.195,0.407,91.066,0,0,0,0,0,0,0,0,0,1,0,0,1993-04-06,17056628,Tuesday,no,1.640043442,9.633,48651,15.17,4.31,84.86
Jason Derulo,Whatcha Say,221253,0,2010,70,0.615,0.711,11,-5.507,1,0.0779,0.0444,0.0,0.145,0.711,144.036,0,0,0,0,0,0,1,0,0,0,0,0,2010-02-24,12166576,Wednesday,no,1.640043442,9.633,48651,15.17,4.31,84.86
Dizzee Rascal,Holiday,220626,0,2011,60,0.545,0.918,0,-1.925,1,0.0448,0.0571,0.0,0.0415,0.855,117.985,0,0,0,0,0,0,1,0,0,0,0,0,2017-11-17,493529,Friday,no,3.156841569,8.949,50066,16.0,2.05,84.68
JLS,Everybody in Love,195586,0,2013,39,0.705,0.783,5,-5.971,0,0.0327,0.0703,0.0,0.36,0.656,140.022,0,0,0,0,0,0,0,0,0,1,0,0,2009-11-09,513612,Monday,no,1.464832656,7.375,53410,18.64,1.41,82.46
Drake,Best I Ever Had,258760,1,2010,54,0.431,0.894,5,-2.673,0,0.33,0.0951,0.0,0.188,0.605,162.161,0,0,0,0,0,0,1,0,0,0,0,0,2009-02-11,91634236,Wednesday,no,1.640043442,9.633,48651,15.17,4.31,84.86
Bruno Mars,Just the Way You Are,220734,0,2010,77,0.635,0.841,5,-5.379,1,0.0422,0.0134,0.0,0.0622,0.424,109.021,0,0,0,0,0,0,0,0,0,1,0,0,2010-05-11,58724169,Tuesday,no,1.640043442,9.633,48651,15.17,4.31,84.86
Eminem,Love The Way You Lie,263373,1,2010,81,0.749,0.925,10,-5.034,1,0.227,0.241,0.0,0.52,0.641,86.989,0,0,0,0,0,0,1,0,0,0,0,0,2010-06-18,89808468,Friday,sí,1.640043442,9.633,48651,15.17,4.31,84.86
Stromae,Alors on danse - Radio Edit,206066,0,2010,77,0.791,0.59,1,-9.206,0,0.0793,0.0994,0.00203,0.065,0.714,119.951,0,0,0,0,0,0,0,0,0,1,0,0,2010-01-01,3398796,Friday,no,1.640043442,9.633,48651,15.17,4.31,84.86
Kesha,TiK ToK,199693,0,2010,80,0.755,0.837,2,-2.718,0,0.142,0.0991,0.0,0.289,0.714,120.028,0,0,0,0,0,0,0,0,0,1,0,0,2010-01-01,8114227,Friday,no,1.640043442,9.633,48651,15.17,4.31,84.86
David Guetta,Memories (feat. Kid Cudi),210853,0,2010,76,0.546,0.916,8,-3.932,1,0.255,0.00144,4.34e-06,0.251,0.375,129.983,0,0,0,0,0,0,1,0,0,0,0,0,2009-08-21,26131627,Friday,sí,1.640043442,9.633,48651,15.17,4.31,84.86
Taio Cruz,Dynamite,202613,0,2010,80,0.751,0.783,4,-3.724,1,0.0859,0.00379,0.0,0.036,0.816,119.975,0,0,0,0,0,0,1,0,0,0,0,0,2010-01-01,2234462,Friday,no,1.640043442,9.633,48651,15.17,4.31,84.86
Rihanna,Only Girl (In The World),235493,0,2010,73,0.789,0.716,11,-4.241,0,0.0432,0.129,1.07e-05,0.069,0.611,125.906,0,0,0,0,0,0,1,0,0,0,0,0,2010-01-01,62453726,Friday,no,1.640043442,9.633,48651,15.17,4.31,84.86
Katy Perry,California Gurls,234653,0,2012,72,0.791,0.754,0,-3.729,1,0.0569,0.00446,0.0,0.163,0.425,125.014,0,0,0,0,0,0,0,0,0,1,0,0,2010-01-01,34270202,Friday,no,2.069337265,8.069,51784,18.13,3.85,83.44
Kesha,Take It Off,215200,0,2010,68,0.729,0.675,5,-5.292,0,0.0286,4.14e-05,0.00126,0.0867,0.74,125.036,0,0,0,0,0,0,0,0,0,1,0,0,2010-01-01,8114227,Friday,no,1.640043442,9.633,48651,15.17,4.31,84.86
INNA,Hot - Play & Win Radio Version,217036,0,2010,42,0.817,0.939,7,-6.079,0,0.28,0.0798,0.441,0.431,0.599,128.0,0,0,0,0,0,0,0,0,0,1,0,0,2010-01-01,1333081,Friday,no,1.640043442,9.633,48651,15.17,4.31,84.86
Far East Movement,Like A G6,216893,0,2010,73,0.435,0.837,3,-8.126,1,0.449,0.00676,0.0,0.117,0.778,124.913,0,0,0,0,0,0,1,0,0,0,0,0,2010-01-01,1086944,Friday,no,1.640043442,9.633,48651,15.17,4.31,84.86
David Guetta,Gettin' Over You (feat. Fergie & LMFAO),188000,0,2010,62,0.615,0.913,10,-5.077,0,0.0816,0.178,0.0,0.0773,0.45,129.944,0,0,0,0,0,0,1,0,0,0,0,0,2009-08-21,26131627,Friday,sí,1.640043442,9.633,48651,15.17,4.31,84.86
Duck Sauce,Barbra Streisand - Radio Edit,196533,0,2010,46,0.769,0.922,1,-1.966,1,0.108,0.000939,0.197,0.233,0.506,127.965,1,0,0,0,0,0,0,0,0,0,0,0,1999-11-12,118549,Friday,no,1.640043442,9.633,48651,15.17,4.31,84.86
Lucenzo,Danza Kuduro (feat. Don Omar),213986,0,2011,0,0.622,0.942,7,-6.365,1,0.112,0.00713,0.0,0.0715,0.773,130.003,0,0,0,0,0,0,0,1,0,0,0,0,2010-01-01,142907,Friday,no,3.156841569,8.949,50066,16.0,2.05,84.68
DJ Fresh,Gold Dust - Radio Edit,192446,0,2010,63,0.451,0.948,0,-0.74,1,0.147,0.255,0.0,0.392,0.295,176.985,0,0,0,0,0,0,0,0,0,1,0,0,2010-07-30,13044,Friday,no,1.640043442,9.633,48651,15.17,4.31,84.86
Edward Maya,Stereo Love - Radio Edit,184573,0,2010,66,0.799,0.783,1,-3.896,0,0.0322,0.0346,0.0186,0.0757,0.586,127.041,0,0,0,0,0,0,0,0,0,1,0,0,2009-04-01,274939,Wednesday,no,1.640043442,9.633,48651,15.17,4.31,84.86
Taio Cruz,Break Your Heart,201546,0,2010,74,0.607,0.934,3,-4.217,1,0.0314,0.0327,0.0,0.0909,0.568,122.01,0,0,0,0,0,0,1,0,0,0,0,0,2010-01-01,2234462,Friday,no,1.640043442,9.633,48651,15.17,4.31,84.86
Eminem,Not Afraid,248133,1,2010,79,0.855,0.954,0,-1.19,0,0.264,0.529,0.0,0.205,0.668,114.635,0,0,0,0,0,0,1,0,0,0,0,0,2010-06-18,89808468,Friday,sí,1.640043442,9.633,48651,15.17,4.31,84.86
Ne-Yo,Beautiful Monster,251573,0,2010,57,0.708,0.771,5,-6.99,0,0.131,0.209,5.32e-06,0.277,0.494,128.013,0,0,0,0,0,0,0,0,0,1,0,0,2010-01-01,9065138,Friday,no,1.640043442,9.633,48651,15.17,4.31,84.86
3OH!3,Starstrukk,203093,0,2010,32,0.605,0.795,11,-6.086,0,0.0712,0.00153,0.0,0.207,0.263,139.896,0,0,0,0,0,0,1,0,0,0,0,0,2009-01-16,999277,Friday,no,1.640043442,9.633,48651,15.17,4.31,84.86
Black Eyed Peas,The Time (Dirty Bit),307640,0,2010,69,0.816,0.813,6,-7.798,0,0.0664,0.0662,2.77e-06,0.602,0.436,127.979,0,0,0,0,0,0,1,0,0,0,0,0,2010-01-01,8368787,Friday,no,1.640043442,9.633,48651,15.17,4.31,84.86
Kelly Rowland,Commander,218106,0,2011,59,0.395,0.876,11,-3.859,0,0.138,0.0173,8.46e-06,0.362,0.567,124.638,0,0,0,0,0,0,1,0,0,0,0,0,2011-01-01,3489785,Saturday,no,3.156841569,8.949,50066,16.0,2.05,84.68
Swedish House Mafia,One (Your Name) - Radio Edit,163246,0,2010,63,0.733,0.673,9,-6.572,0,0.0333,0.0132,0.0049,0.16,0.636,125.061,0,0,0,0,0,0,0,0,0,1,0,0,2010-07-23,3830134,Friday,no,1.640043442,9.633,48651,15.17,4.31,84.86
Chris Brown,Deuces (feat. Tyga & Kevin McCall),276560,1,2011,68,0.692,0.736,1,-5.109,1,0.11,0.0324,0.0,0.0787,0.217,73.987,0,0,0,0,0,0,1,0,0,0,0,0,2011-03-22,23191433,Tuesday,no,3.156841569,8.949,50066,16.0,2.05,84.68
Usher,DJ Got Us Fallin' In Love (feat. Pitbull),220800,0,2010,79,0.663,0.861,7,-3.398,0,0.109,0.0338,0.0,0.082,0.654,119.963,0,0,0,0,0,0,1,0,0,0,0,0,2010-03-30,12036479,Tuesday,no,1.640043442,9.633,48651,15.17,4.31,84.86
Flo Rida,Club Can't Handle Me (feat. David Guetta),234560,0,2010,76,0.616,0.869,0,-3.911,1,0.0327,0.0283,0.0,0.064,0.473,127.966,0,0,0,0,0,0,1,0,0,0,0,0,2010-11-24,8619692,Wednesday,no,1.640043442,9.633,48651,15.17,4.31,84.86
Sean Kingston,Eenie Meenie,201946,0,2010,74,0.72,0.607,1,-4.168,1,0.0322,0.0543,0.0,0.113,0.828,121.223,0,0,0,0,0,0,1,0,0,0,0,0,2020-02-28,3330525,Friday,no,1.640043442,9.633,48651,15.17,4.31,84.86
Waka Flocka Flame,No Hands (feat. Roscoe Dash & Wale),263773,1,2010,58,0.76,0.595,1,-6.366,1,0.0391,0.00544,0.0,0.241,0.361,131.497,0,0,0,0,0,0,1,0,0,0,0,0,2010-10-01,2691633,Friday,no,1.640043442,9.633,48651,15.17,4.31,84.86
Tinie Tempah,Written in the Stars (feat. Eric Turner),207653,0,2010,57,0.656,0.931,7,-4.188,1,0.0981,0.0613,0.0,0.219,0.534,91.881,0,0,0,0,0,0,1,0,0,0,0,0,2010-05-31,839193,Monday,no,1.640043442,9.633,48651,15.17,4.31,84.86
Bruno Mars,Talking to the Moon,217866,0,2010,76,0.498,0.59,1,-4.721,0,0.032,0.511,0.0,0.107,0.0784,145.867,0,0,0,0,0,0,0,0,0,1,0,0,2010-05-11,58724169,Tuesday,no,1.640043442,9.633,48651,15.17,4.31,84.86
Miley Cyrus,Can't Be Tamed,168213,0,2010,0,0.63,0.91,11,-2.919,0,0.144,0.0287,0.0,0.196,0.743,116.98,0,0,0,0,0,0,0,0,0,1,0,0,2010-01-01,24655212,Friday,no,1.640043442,9.633,48651,15.17,4.31,84.86
Mike Posner,Cooler Than Me - Single Mix,213293,0,2010,75,0.768,0.82,7,-4.63,0,0.0474,0.179,0.0,0.689,0.625,129.965,0,0,0,0,0,0,1,0,0,0,0,0,2010-08-09,1383380,Monday,no,1.640043442,9.633,48651,15.17,4.31,84.86
Yolanda Be Cool,We No Speak Americano (JT Radio Edit),157438,0,2010,1,0.901,0.805,6,-5.005,1,0.0464,0.0712,0.0812,0.0923,0.737,124.996,1,0,0,0,0,0,0,0,0,0,0,0,2020-12-04,51733,Friday,no,1.640043442,9.633,48651,15.17,4.31,84.86
Tinie Tempah,Pass Out,268053,1,2010,53,0.693,0.891,1,-3.261,1,0.296,0.0281,0.0,0.143,0.532,91.1,0,0,0,0,0,0,1,0,0,0,0,0,2010-05-31,839193,Monday,no,1.640043442,9.633,48651,15.17,4.31,84.86
Trey Songz,Bottoms Up (feat. Nicki Minaj),242013,1,2010,0,0.845,0.601,1,-5.283,1,0.161,0.0205,0.0,0.385,0.329,74.008,0,0,0,0,0,0,1,0,0,0,0,0,2010-09-14,7440056,Tuesday,no,1.640043442,9.633,48651,15.17,4.31,84.86
Enrique Iglesias,I Like It,231373,0,2010,63,0.648,0.942,10,-2.881,0,0.0878,0.021,0.0,0.0594,0.73,129.007,0,0,0,0,0,0,0,0,0,1,0,0,2024-07-19,11075132,Friday,no,1.640043442,9.633,48651,15.17,4.31,84.86
Tim Berg,Seek Bromance - Avicii’s Vocal Edit,203960,0,2010,0,0.515,0.837,11,-2.552,1,0.0401,0.0868,0.0,0.0403,0.52,126.026,0,0,0,0,0,0,0,0,0,1,0,0,2010-11-12,210803,Friday,no,1.640043442,9.633,48651,15.17,4.31,84.86
Usher,OMG (feat. will.i.am),269493,0,2010,73,0.781,0.745,4,-5.81,0,0.0332,0.198,1.14e-05,0.36,0.326,129.998,0,0,0,0,0,0,1,0,0,0,0,0,2010-03-30,12036479,Tuesday,no,1.640043442,9.633,48651,15.17,4.31,84.86
Maroon 5,Misery,216200,0,2010,67,0.703,0.81,4,-4.874,0,0.0424,0.000315,0.0,0.216,0.726,102.978,0,0,0,0,0,0,0,0,0,1,0,0,2007-06-11,42516029,Monday,no,1.640043442,9.633,48651,15.17,4.31,84.86
Rihanna,Man Down,267000,1,2010,68,0.47,0.904,0,-4.024,0,0.177,0.0436,0.0,0.0491,0.557,155.788,0,0,0,0,0,0,1,0,0,0,0,0,2010-11-16,62453726,Tuesday,no,1.640043442,9.633,48651,15.17,4.31,84.86
3OH!3,My First Kiss (feat. Ke$ha),192440,0,2010,62,0.682,0.889,0,-4.166,1,0.0804,0.00564,0.0,0.36,0.827,138.021,0,0,0,0,0,0,1,0,0,0,0,0,2010-06-25,999277,Friday,no,1.640043442,9.633,48651,15.17,4.31,84.86
Justin Bieber,Baby,214240,0,2010,81,0.728,0.859,5,-5.237,0,0.137,0.0401,0.0,0.111,0.535,65.043,0,0,0,0,0,0,0,0,0,1,0,0,2017-07-27,77112818,Thursday,no,1.640043442,9.633,48651,15.17,4.31,84.86
Cali Swag District,Teach Me How to Dougie,237480,1,2011,66,0.846,0.438,11,-4.981,1,0.141,0.2,9.43e-05,0.0939,0.512,85.013,0,0,0,0,0,0,1,0,0,0,0,0,2011-07-12,92668,Tuesday,no,3.156841569,8.949,50066,16.0,2.05,84.68
Swedish House Mafia,Miami 2 Ibiza - Swedish House Mafia vs. Tinie Tempah,206460,1,2010,54,0.736,0.929,7,-5.89,0,0.0674,0.00237,1.11e-05,0.402,0.658,125.03,0,0,0,0,0,0,0,0,0,1,0,0,2010-05-31,3830134,Monday,no,1.640043442,9.633,48651,15.17,4.31,84.86
Ludacris,How Low,201586,1,2010,63,0.785,0.498,1,-6.977,1,0.0533,0.00248,1.23e-06,0.224,0.418,143.96,0,0,0,0,0,0,1,0,0,0,0,0,2010-01-01,3075750,Friday,no,1.640043442,9.633,48651,15.17,4.31,84.86
Kesha,Blah Blah Blah (feat. 3OH!3),172053,1,2010,61,0.752,0.836,10,-3.173,1,0.115,0.0843,0.000425,0.424,0.519,120.003,0,0,0,0,0,0,0,0,0,1,0,0,2010-01-01,8114227,Friday,no,1.640043442,9.633,48651,15.17,4.31,84.86
DJ Khaled,"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",232506,1,2010,51,0.544,0.781,10,-3.616,1,0.189,0.014,0.0,0.161,0.277,150.1,0,0,0,0,0,0,1,0,0,0,0,0,2010-03-02,11644040,Tuesday,no,1.640043442,9.633,48651,15.17,4.31,84.86
Jason Derulo,In My Head,199026,0,2010,65,0.762,0.748,0,-4.15,0,0.033,0.0266,0.0,0.348,0.851,110.009,0,0,0,0,0,0,1,0,0,0,0,0,2010-02-24,12166576,Wednesday,no,1.640043442,9.633,48651,15.17,4.31,84.86
Aloe Blacc,I Need A Dollar,243053,0,2010,1,0.84,0.482,6,-7.116,0,0.0333,0.202,0.0,0.0873,0.957,95.498,0,0,1,0,0,0,0,0,0,0,0,0,2010-09-28,717069,Tuesday,no,1.640043442,9.633,48651,15.17,4.31,84.86
B.o.B,Airplanes (feat. Hayley Williams of Paramore),180480,1,2010,74,0.66,0.867,6,-4.285,0,0.116,0.11,0.0,0.0368,0.377,93.033,0,0,0,0,0,0,1,0,0,0,0,0,2010-04-27,2068843,Tuesday,no,1.640043442,9.633,48651,15.17,4.31,84.86
Ludacris,My Chick Bad,216933,1,2010,68,0.624,0.723,1,-6.782,1,0.378,0.172,0.0,0.483,0.757,84.789,0,0,0,0,0,0,1,0,0,0,0,0,2010-01-01,3075750,Friday,no,1.640043442,9.633,48651,15.17,4.31,84.86
Nelly,Just A Dream,237800,0,2010,73,0.531,0.752,1,-6.161,1,0.0305,0.0421,0.0,0.12,0.103,89.917,0,0,0,0,0,0,1,0,0,0,0,0,2010-11-12,2988330,Friday,no,1.640043442,9.633,48651,15.17,4.31,84.86
Rihanna,What's My Name?,263173,0,2010,66,0.692,0.786,2,-2.959,1,0.069,0.23,0.0,0.0797,0.583,100.025,0,0,0,0,0,0,1,0,0,0,0,0,2010-01-01,62453726,Friday,no,1.640043442,9.633,48651,15.17,4.31,84.86
Shontelle,Impossible,226533,0,2010,35,0.599,0.624,8,-3.631,1,0.0343,0.385,0.0,0.125,0.539,90.034,0,0,0,0,0,0,0,0,0,1,0,0,2013-11-04,734819,Monday,no,1.640043442,9.633,48651,15.17,4.31,84.86
Take That,The Flood,289359,0,2010,57,0.514,0.83,11,-6.077,0,0.044,0.0378,1.43e-06,0.122,0.138,100.631,0,0,0,0,0,0,0,0,0,1,0,0,2019-11-15,1349027,Friday,no,1.640043442,9.633,48651,15.17,4.31,84.86
Drake,Over,233560,1,2010,57,0.325,0.848,7,-5.611,1,0.279,0.0109,0.0,0.124,0.433,100.093,0,0,0,0,0,0,1,0,0,0,0,0,2021-07-14,91634236,Wednesday,no,1.640043442,9.633,48651,15.17,4.31,84.86
