artista,cancion,duracion_ms,explicito,anio,popularidad,bailable,energia,clave,volumen,modo,locuacidad,acusticidad,instrumentalidad,vivisidad,valencia emocional,tempo,genero_principal_Dance/Electronic,genero_principal_Folk/Acoustic,genero_principal_R&B,genero_principal_World/Traditional,genero_principal_country,genero_principal_easy listening,genero_principal_hip hop,genero_principal_latin,genero_principal_metal,genero_principal_pop,genero_principal_rock,genero_principal_set(),fecha_lanzamiento,Followers,dia_semana,TOP50_2019-2020,inflation,unemployment,gdp_per_capita,gross_savings,crecimiento_renta_neta,consumption_expenditure
Stromae,Papaoutai,232146,0,2013,0,0.733,0.818,10,-7.222,0,0.0859,0.0241,0.0,0.0636,0.253,116.019,0,0,0,0,0,0,0,0,0,1,0,0,2013-01-01,3398796,Tuesday,no,1.464832656,7.375,53410,18.64,1.41,82.46
Bingo Players,Get Up (Rattle) - Vocal Edit,166933,0,2013,1,0.801,0.985,7,-2.69,1,0.0645,0.0205,6.86e-06,0.296,0.722,127.99,0,0,0,0,0,0,0,0,0,1,0,0,2012-12-08,471366,Saturday,no,1.464832656,7.375,53410,18.64,1.41,82.46
Naughty Boy,La La La,220779,0,2013,58,0.754,0.677,6,-4.399,0,0.0316,0.112,0.0,0.111,0.254,124.988,1,0,0,0,0,0,0,0,0,0,0,0,2014-01-01,341324,Wednesday,no,1.464832656,7.375,53410,18.64,1.41,82.46
Tom Odell,Another Love,244360,1,2013,88,0.445,0.537,4,-8.532,0,0.04,0.695,1.65e-05,0.0944,0.131,122.769,0,0,0,0,0,0,0,0,0,1,0,0,2013-09-17,3958231,Tuesday,no,1.464832656,7.375,53410,18.64,1.41,82.46
2 Chainz,We Own It (Fast & Furious),227906,0,2013,69,0.563,0.902,1,-4.586,0,0.402,0.0545,0.0,0.0524,0.559,171.999,0,0,0,0,0,0,1,0,0,0,0,0,2013-01-01,8072856,Tuesday,no,1.464832656,7.375,53410,18.64,1.41,82.46
David Guetta,Play Hard (feat. Ne-Yo & Akon),201000,0,2012,69,0.691,0.921,8,-1.702,0,0.0533,0.173,0.0,0.331,0.8,130.072,0,0,0,0,0,0,1,0,0,0,0,0,2011-08-24,26131627,Wednesday,sí,2.069337265,8.069,51784,18.13,3.85,83.44
Pitbull,Feel This Moment (feat. Christina Aguilera),229506,0,2012,77,0.673,0.758,7,-3.632,1,0.158,0.039,0.0,0.341,0.542,135.956,0,0,0,0,0,0,1,0,0,0,0,0,2012-03-15,10731957,Thursday,no,2.069337265,8.069,51784,18.13,3.85,83.44
will.i.am,#thatPOWER,279506,0,2013,68,0.797,0.608,6,-6.096,0,0.0584,0.00112,7.66e-05,0.0748,0.402,127.999,0,0,0,0,0,0,1,0,0,0,0,0,2013-01-01,4185118,Tuesday,no,1.464832656,7.375,53410,18.64,1.41,82.46
Lil Wayne,Love Me,255053,1,2013,68,0.669,0.634,11,-6.476,1,0.0327,0.0125,0.0,0.0946,0.496,124.906,0,0,0,0,0,0,1,0,0,0,0,0,2013-01-01,15143010,Tuesday,no,1.464832656,7.375,53410,18.64,1.41,82.46
Macklemore & Ryan Lewis,Can't Hold Us (feat. Ray Dalton),258342,0,2012,81,0.641,0.922,2,-4.457,1,0.0786,0.0291,0.0,0.0862,0.847,146.078,0,0,0,0,0,0,1,0,0,0,0,0,2012-10-09,2375401,Tuesday,no,2.069337265,8.069,51784,18.13,3.85,83.44
Martin Garrix,Animals - Radio Edit,176117,0,2013,0,0.593,0.914,1,-5.351,1,0.0363,0.00137,0.445,0.0714,0.0381,128.015,0,0,0,0,0,0,0,0,0,1,0,0,2013-06-17,15061604,Monday,no,1.464832656,7.375,53410,18.64,1.41,82.46
Jason Derulo,Talk Dirty (feat. 2 Chainz),177685,1,2013,56,0.76,0.652,6,-7.321,1,0.232,0.0348,0.0,0.307,0.759,100.315,0,0,0,0,0,0,1,0,0,0,0,0,2013-09-10,12166576,Tuesday,no,1.464832656,7.375,53410,18.64,1.41,82.46
